slang,meaning
gantengsaya,ganteng
gaptek,gagap teknologi
garing,hambar
gatau,tidak tahu
gatek,gagap teknologi
gawe,kerja
gbs,tidak bisa
gebetan,orang yang disuka
geje,tidak jelas
gengges,ganggu
gepeng,gelandangan dan pengemis
gf,pacar
ggl,gagal
ghiy,lagi
gile,gila
gimana,bagaimana
gino,gigi nongol
githu,gitu
gj,tidak jelas
gk,tidak
gmana,bagaimana
gmn,bagaimana
gmpng,gampang
gn,begini
goblok,bodoh
gogon,go internasional
gokil,gila
golput,golongan putih
gombal,suka merayu
gowes,mengayuh sepeda
gpl,tidak pakai lama
gpny,tidak punya
gpp,tidak apa apa
gr,gede rasa
grammar,tata bahasa
gretong,gratis
gretongan,gratisan
gt,gitu
gt,begitu
gtau,tidak tahu
gtw,tidak tahu
gua,saya
gue,saya
guoblok,goblok
guys,teman-teman
gw,saya
gws,cepat sembuh
ha,tertawa
hacep,pesta pora
haghaghag,tertawa
haha,tertawa
hakhak,tertawa
hallow,halo
handak,bahan peledak
hankam,pertahanan dan keamanan
hansip,pertahanan sipil
happy,bahagia
hardcore,keras
hater,pembenci
haters,pembenci
hdp,hidup
hdr,hadir
hehe,he
hellow,halo
helo,halo
helow,halo
heters,pembenci
hey,hai
hi,hai
hit,terpopuler
hits,terkini
hlm,halaman
hlng,hilang
hny,hanya
hnya,hanya
hoax,palsu
hoax,isu bohong
houm,rumah
hr,hari
hrs,harus
hrus,harus
hubad,hubungan angkatan darat
hubdar,perhubungan darat
hubla,perhubungan laut
huff,mengeluh
huft,mengeluh
hum,rumah
humas,hubungan masyarakat
humz,rumah
idk,saya tidak tahu
ig,instagram
ikon,lambang
ilang,hilang
ilfeel,tidak suka
ilfil,tidak suka
imba,jago sekali
imho,in my humble opinion
imoet,imut
imoetz,imut
indo,indonesia
info,informasi
iow,dengan kata lain
ipon,iphone
isengin,bercanda
ista,nista
istaa,nista
item,hitam
itung,hitung
itungan,hitungan
iyala,iya lah
iye,iya
iyo,iya
ja,saja
jablay,jarang dibelai
jadiin,jadi
jadul,jaman dulu
jaim,jaga image
jancuk,anjing
jayus,tidak lucu
jd,jadi
jdi,jadi
jdikan,jadikan
jdnya,jadinya
jem,jam
jentelmen,berani
jg,juga
jga,juga
jgan,jangan
jgn,jangan
jgnkan,jangankan
jijay,jijik
jir,anjing
jkt,jakarta
jl,jalan
jln,jalan
jls,jelas
jnj,janji
jomblo,tidak punya pacar
jth,jatuh
jubir,juru bicara
jurdil,jujur adil
jutek,galak
jwb,jawab
k,ke
ka,kakak
kab,kabupaten
kabag,kepala bagian
kabor,kabur
kacian,kasihan
kacrut,kacau
kadit,kepala direktorat
kadiv,kepala divisi
kaga,tidak
kagak,tidak
kaka,kakak
kalo,kalau
kampret,sialan
kamseupay,kampungan
kamtib,keamanan dan ketertiban
kamtibmas,keamanan dan ketertiban masyarakat
kamuh,kamu
kamuwh,kamu
kamyu,kamu
kanwil,kantor wilayah
kapt,kapten
karn,karena
karna,karena
kasat,kepala satuan
kasubbag,kepala subbagian
kasubbid,kepala subbidang
katrok,kampungan
kau,kamu
kayanya,kayaknya
kbar,kabar
kbr,kabar
kca,kaca
kcian,kasihan
kdu,harus
keburu,terlanjur
kec,kecamatan
kedubes,kedutaan besar
kejurnas,kejuaraan nasional
kek,seperti
kekeuh,keras kepala
keknya,kayaknya
kel,kelurahan
keles,kali
keleus,kali
keliatan,kelihatan
kemaren,kemarin
keneh,masih
kentot,senggama
kepengen,mau
kepikiran,terpikirkan
kepingin,mau
kepo,penasaran
kepo,mau tahu urusan orang
kepsek,kepala sekolah
kere,tidak punya uang
kesbang,kesatuan bangsa
kesian,kasihan
kesra,kesejahteraan rakyat
ketauan,ketahuan
ketrima,diterima
keukeuh,keras kepala
kgiatan,kegiatan
kgk,kagak
khan,kan
kibul,bohong
kibus,kaki busuk
kicep,diam
kimpoi,kawin
kipak,bohong
kk,kakak
kl,kalau
klian,kalian
klianz,kalian
klo,kalau
klon,duplikat
kloter,kelompok terbang
klrg,keluarga
klu,kalau
kluarga,keluarga
klw,kalau
klwrga,keluarga
km,kamu
kmari,kemari
kmn,kemana
kmps,kampus
kmpus,kampus
kmrn,kemarin
kn,kan
knal,kenal
knl,kenal
knp,kenapa
knpa,kenapa
koar,teriak
kodya,kota madya
kog,kok
komdis,komisi disiplin
kompi,komputer
komsov,komunis sovyet
komtiong,komunis tiongkok
kongkow,kumpul bareng teman-teman
kongkow,kumpul-kumpul
konjen,konsulat jenderal
kopdar,kopi darat
koq,kok
korup,korupsi
kpd,kepada
kpn,kapan
kptsan,keputusan
krenz,keren
krik,garing
krm,kirim
krn,karena
krna,karena
kt,kita
ktauan,ketahuan
ktipu,tipu
ktmu,ketemu
ktny,katanya
ktr,kantor
kudu,harus
kumkeb,kumpul kebo
kuper,kurang pergaulan
kuq,kok
kurng,kurang
kw,imitasi
ky,seperti
kyk,seperti
kyk,kayak
kykny,kayanya
kzl,kesal
la,lah
laka,kecelakaan
lam,salam
lambreta,lambat
lamp,lampiran
lansia,lanjut usia
lanud,landasan udara
lapas,lembaga pemasyarakatan
latgab,latihan gabungan
lbur,libur
lebay,berlebihan
lebeh,berlebihan
leh,boleh
lekong,laki-laki
lelet,lambat
lemot,lambat
less,kurang
lg,lagi
lgi,lagi
lgkp,lengkap
lgs,langsung
lgsg,langsung
lht,lihat
liat,lihat
light,terang
linmas,perlindungan masyarakat
litbang,penelitian dan pengembangan
lmyan,lumayan
lmyn,lumayan
lngkp,lengkap
lnjut,lanjut
lo,kamu
loch,loh
loe,kamu
lol,tertawa
lola,lambat berfikir
lom,belum
louph,cinta
loupz,cinta
love,cinta
low,kalau
lowh,kamu
lp,lupa
lu,kamu
luchu,lucu
luchuw,lucu
luff,cinta
lum,belum
luph,cinta
luthu,lucu
lw,kamu
lwn,lawan
lwt,lewat
maaci,terima kasih
maacih,terima kasih
maaciw,terima kasih
mabal,bolos
mabes,markas besar
mabok,mabuk
macem2, beragam
macem,macam
macem-macem,beragam
macih,masih
madesu,masa depan suram
maem,makan
maen,main
magabut,makan gaji buta
mager,malas gerak
maharani,mahal
mahatma,maju sehat bersama
maho,homoseksual
maho,homo
mainstream,sangat umum
mak,ibu
mak jang,kaget
makasih,terima kasih
maksain,memaksa
malah,bahkan
malem,malam
males,malas
malu2in,memalukan
mam,makan
mamz,makan
maneh,kamu
manies,manis
maniez,manis
mantep,mantap
mao,mau
markus,makelar kasus
masukin,masukkan
masy,masyarakat
mba,mbak
mbual,bual
mcm,macam
mehong,mahal
melu,ikut
mending,lebih baik
meneketehe,tidak tahu
menel,centil
mepet,dekat sekali
mgkin,mungkin
mgkn,mungkin
mgu,minggu
mhn,mohon
migas,minyak dan gas bumi
miker,minuman keras
mikol,minuman beralkohol
milis,mailing list
mimin,admin
minn,admin
miras,minuman keras
mkn,makan
mksd,maksud
mlah,malah
mlm,malam
mls,malas
mmg,memang
mngkn,mungkin
mnolak,tolak
mnt,minta
mo,mau
modus,maksud lain
moge,motor gede
mokad,mati
mokat,mati
moso,masa
mosok,masa
most,paling
mpe,sampai
mrk,mereka
mrka,mereka
msh,masih
msk,masuk
mskpn,meskipun
mslh,masalah
msng2,masing-masing
mt,makan teman
muahal,mahal
mubes,musyawarah besar
much,lebih
muker,musyawarah kerja
mulu,melulu
mumet,pusing
mumpung,selagi
muna,munafik
munas,musyawarah nasional
munaslub,musyawarah nasional luar biasa
munfik,munafik
muntaber,muntah dan berak
mure,murah
musda,musyawarah daerah
musti,mesti
muup,maaf
muupz,maaf
muuv,maaf
mw,now watching
mw,mau
mz,mas
n,dan
nal,kenal
nanam,menanam
nangis,menangis
nanya,bertanya
naon,apa
napa,kenapa
napi,narapidana
napol,narapidana politik
naq,anak
narkoba,obat terlarang
narsis,bangga pada diri sendiri
nasgor,nasi goreng
nax,anak
nda,tidak
ndak,tidak
ndiri,sendiri
ndut,gendut
ne,ini
nekolim,neokolonialisme
nekolin,neokolonialisme
nelfon,menelepon
nembak,menyatakan cinta
next,lanjut
ngabis2in,menghabiskan
ngabuburit,menunggu berbuka puasa
ngakak,tertawa
ngaku,mengaku
ngambek,marah
ngambil,mengambil
ngampus,pergi ke kampus
nganggur,tidak punya pekerjaan
ngantri,mengantri
ngapah,kenapa
ngapain,sedang apa
ngaret,terlambat
ngaruh,berpengaruh
ngasih,memberikan
ngawur,berbicara sembarangan
ngebandel,berbuat bandel
ngebully,intimidasi
ngeceng,kumpul bareng-bareng
ngegosip,bergosip
ngeh,sadar
ngeh,paham
ngehe,kesal
ngeklaim,mengklaim
ngekos,tinggal di kos
ngeksis,menjadi eksis
ngelamar,melamar
ngeles,berkilah
ngeliat,melihat
ngelidur,menggigau
ngemeng,bicara terus-terusan
ngentotin,senggama
ngerampok,merampok
ngerti,mengerti
ngeuh,paham
ngga,tidak
nggak,tidak
nggu,menunggu
ngibul,berbohong
ngikut,ikut
ngiler,mau
nginep,menginap
ngiri,iri
ngisi,mengisi
ngisiin,mengisikan
ngk,tidak
ngmg,bicara
ngmng,bicara
ngocol,lucu
ngomong,bicara
ngomongin,membicarakan
ngubek2,mencari cari
ngumpet,sembunyi
ngumpul,berkumpul
ngurus,mengurus
ni,ini
nic,penggemar agnezmo
nice,bagus
nicong,penggemar agnezmo
nie,ini
nih,ini
nipu,tipu
niyh,nih
nmenarik,menarik
nmr,nomor
nntn,nonton
nobar,nonton bareng
nongkrong,kumpul-kumpul
np,now playing
ntar,nanti
ntn,nonton
numpuk,bertumpuk
nutupin,menutupi
nyari,mencari
nyariin,mencari
nyasar,tersesat
nyekar,menyekar
nyela,cela
nyembah,sembah
nyerang,serang
nyiapin,mempersiapkan
nyicil,mencicil
nyiram,menyiram
nyoblos,mencoblos
nyok,ayo
nyokap,ibu
nyungsep,jatuh
o/,oleh
official,resmi
ogah,tidak mau
ok,ok
ol,online
olh,oleh
ongkir,ongkos kirim
oot,out of topic
or,atau
org,orang
org2,orang orang
ortu,orang tua
otda,otonomi daerah
otw,sedang di jalan
pa,apa
pacal,pacar
pake,pakai
pala,kepala
palbis,paling bisa
pansus,panitia khusus
paranoid,takut
parpol,partai politik
parte,partai
pasutri,pasangan suami istri
pcr,pacar
pcran,pacaran
pd,pada
pdhal,padahal
pede,percaya diri
pelatnas,pemusatan latihan nasional
pemda,pemerintah daerah
pemkot,pemerintah kota
pemred,pemimpin redaksi
penertiban,tertib
penjas,pendidikan jasmani
perda,peraturan daerah
peres,palsu
perhatiin,perhatikan
pesenan,pesanan
pg,pagi
pgang,pegang
pgg,pegang
php,pemberi harapan palsu
pi,tapi
pilkada,pemilihan kepala daerah
pisan,sangat
pk,pakai
pk,penjahat kelamin
plg,pulang
plg,paling
pls,tolong
pmrnth,pemerintah
pndukung,pendukung
pnh,pernah
pntg,penting
pny,punya
polantas,polisi lalu lintas
ponpes,pondok pesantren
pp,pulang pergi
prasmul,perasaan saja
prcya,percaya
prg,pergi
priksa,periksa
prnh,pernah
pro,profesional
problem,masalah
psen,pesan
psn,pesan
pst,pesat
pst,pasti
psti,pasti
pswt,pesawat
puanas,panas
pw,posisi nyaman
qmo,kamu
qmu,kamu
qt,kita
rakor,rapat koordinasi
rame,ramai
ranmor,kendaraan bermotor
raskin,rakyat miskin
re,reply
recokin,ganggu
red,redaksi
ref,referensi
reg,register
rehab,rehabilitasi
rejeki,rezeki
reklamuk,reklamasi
rempong,sulit
rempong,repot
renstra,rencana strategis
repp,balas
reskrim,reserse kriminal
restik,reserse narkotika
rhs,rahasia
ri,republik indonesia
rights,benar
rmh,rumah
rotfl,tertawa
ru,baru
rubahnn,rubah
ruko,rumah toko
rusunawa,rumah susun sewa
ruz,terus
sabeb,bebas
sadaar,sadar
saia,saya
salting,salah tingkah
sampe,sampai
samsek,sama sekali
sapose,siapa
satpam,satuan pengamanan
sbb,sebagai berikut
sbh,sebuah
sbnrny,sebenarnya
schedule,jadwal
scr,secara
sdgkn,sedangkan
sdh,sudah
sdkt,sedikit
se7,setuju
sebelas dua belas,mirip
selow,santai
sembako,sembilan bahan pokok
sempet,sempat
sendratari,seni drama tari
sept,september
seting,akting
setting,atur
sgt,sangat
sgtu,segitu
sgtuny,segitunya
sh,masih
shg,sehingga
siech,sih
sikon,situasi dan kondisi
simiskin,miskin
sinetron,sinema elektronik
siramin,siramkan
sj,saja
sjjurny,sejujurnya
skali,sekali
skalian,sekalian
sklh,sekolah
skrg,sekarang
skt,sakit
slesai,selesai
slh,salah
sll,selalu
slma,selama
slsai,selesai
sm,sama
sma,sama
smg,semoga
smga,semoga
smpt,sempat
smw,semua
smwnya,semuanya
sndiri,sendiri
sni,sini
sohib,teman
soljum,sholat jumat
solve,solusi
somse,sombong sekali
songong,sombong
sorry,maaf
sory,maaf
sosbud,sosial budaya
sosek,sosial ekonomi
sospol,sosial politik
sotoy,sok tahu
sowry,maaf
spa,siapa
spd,sepeda
sppa,siapa
sprti,seperti
spt,seperti
spy,supaya
srtfkt,sertifikat
stage,panggung
stelah,setelah
stiap,setiap
still,masih
stj,setuju
stlh,setelah
stuju,setuju
subbag,subbagian
suk,masuk
sumbangin,sumbangkan
sumpek,sempit
sy,saya
sya,saya
syg,sayang
syp,siapa
t4,tempat
tabanas,tabungan pembangunan nasional
tahi,kotoran
taik,tahi
tajir,kaya
tak,tidak
tar,nanti
tau,tahu
tauk,tahu
taun,tahun
taw,tahu
tawh,tahu
td,tadi
tdi,tadi
tdk,tidak
te2p,tetap
teh,kakak perempuan
tekor,rugi
telat,terlambat
telkom,telekomunikasi
telmi,telat berpikir
telp,telepon
temen,teman
temen2,teman teman
tengil,menyebalkan
tengok,menjenguk
tengsin,malu
tepar,terkapar
terbitin,terbitkan
tggu,tunggu
tgl,tanggal
tgu,tunggu
thanks,terima kasih
thankz,terima kasih
thd,terhadap
thn,tahun
thx,terima kasih
tik,cantik
tilang,bukti pelanggaran
tilep,tilap
tioghoa,tionghoa
tipi,tv
tipiwan,tvone
tirani,tiran
tkg,tukang
tks,terima kasih
tkt,takut
tll,terlalu
tlp,telepon
tlpn,telepon
tls,tulis
tman,teman
tmbah,tambah
tmbh,tambah
tmen2,teman teman
temen,teman
tmn,teman
tmn2,teman teman
tmpah,tumpah
tmph,tumpah
tmpt,tempat
tnda,tanda
tngu,tunggu
tnh,tanah
tnyta,ternyata
togel,toto gelap
tokai,tai
toserba,toko serba ada
tp,tapi
tpi,tapi
tpii,tapi
tq,terima kasih
trdhulu,terdahulu
tren,trend
trending,trend
trgntg,tergantung
trima,terima kasih
trims,terima kasih
trlalu,terlalu
trm,terima
trs,terus
trus,terus
trutama,terutama
ts,penulis
tsangka,tersangka
tst,tahu sama tahu
ttg,tentang
ttp,tetap
tuch,tuh
tuir,tua
tw,tahu
tw,tau
typo,salah tulis
u,kamu
u,you
uasai,kuasa
ud,sudah
udah,sudah
ujg,ujung
ul,ulangan
unyu,lucu
unyu,menggemaskan
uplot,unggah
urang,saya
usah,perlu
utk,untuk
valas,valuta asing
wadir,wakil direktur
wamil,wajib militer
warkop,warung kopi
warteg,warung tegal
waspadalah,waspada
wat,buat
watuk,batuk
with,dengan
wkt,waktu
wkwk,tertawa
wkwkwk,tertawa
woles,santai
wtf,what the fuck
wtf,apa apaan
x,kali
xixixi,tertawa
y,ya
ya,iya
yap,iya
yaudah,ya sudah
yawdah,ya sudah
yg,yang
yl,yang lain
yo,iya
yowes,ya sudah
yup,iya
zonk,bodoh
mantul,mantap betul
japri,chat pribadi
caper,cari perhatian
gaje,gak jelas
mager,malas gerak
bucin,budak cinta
woles,santai
santuy,santai
cukstaw,cukup tahu
bapack bapack,bapak bapak
salfok,salah fokus
rungkad,hancur
pansos,panjat sosial
receh,hal kecil
kepo,ingin tahu urusan orang lain
nolep,tidak bersosialisasi
ige, instagram
sori, maaf
gaskeun,lakukan dengan semangat
gercep,gerak cepat
gimmick,trik untuk menarik perhatian
giveaway,hadiah gratis
hoax,berita bohong
japri,jalur pribadi
jastip,jasa titip
jombs,jomblo
jutek,galak
kuy,ayo
lah,ekspresi keheranan
lit,keren
mantep jiwa,sangat bagus
micin,bodoh
mutualan,saling follow
ngegas,berlebihan
ngetrend,menjadi populer
nyinyir,banyak komentar negatif
ootd,outfit of the day
pap,post a picture
pede,percaya diri
pelit,kikir
prank,lelucon
rempong,ribet
sambat,mengeluh
sange,nafsu
santuy,santai
semrawut,berantakan
skena,komunitas
sotoy,sok tahu
stalking,mengintip akun sosial media
sultan,orang kaya
swag,keren
tercyduk,tertangkap
tuman,kebiasaan buruk
unfaedah,tidak berguna
wacana,rencana kosong
wagelaseh,tidak tahu
wangsaf,whatsapp
warbiasak,luar biasa
warkop,warung kopi
webtoon,komik online
wibu,penggemar anime
yaudah,ya sudah
auto,otomatis
bokap nyokap,orang tua
boljug,boleh juga
bro sis,saudara
chill,santai
cuan,keuntungan
dagelan,lelucon
doi,dia
emesh,imut
epic,keren
fix,pasti
garing,tidak lucu
gaslighting,manipulasi psikologis
glow up,perubahan menjadi lebih baik
gokil,keren
halu,berhalusinasi
hitz,populer
humble,rendah hati
iykwim,if you know what i mean
jatuh hati,suka
jomblo,tidak punya pasangan
julid,iri dengki
kece,keren
kepo,ingin tahu
kode keras,sinyal jelas
kudet,kurang update
lenjeh,genit
mager,malas gerak
mabar,main bareng
mainin perasaan,mempermainkan
maksi,maksimal
melek,sadar
mupeng,muka pengen
naksir,suka
ngabers,pergi bersama
ngacir,kabur
ngadem,berteduh
ngakak,tertawa
ngebucin,tergila-gila
ngecas,mengisi daya
ngegame,bermain game
ngehype,mempromosikan
ngemall,pergi ke mall
ngemper,tinggal di emperan
ngepet,mencari uang dengan cara mistis
ngopi,minum kopi
nongki,nongkrong
otaknya jalan,pintar
panas dingin,gelisah
pansos,panjat sosial
papoy,ayah
pelakor,perebut laki orang
peres,palsu
puyeng,pusing
receh,hal sepele
rese,menyebalkan
sambat,mengeluh
samsek,sama sekali
sapatau,siapa tahu
seleb,selebriti
slebew,berlebihan
sokap,sok kenal
tajir,kaya
tercyduk,tertangkap
tuman,kebiasaan buruk
wagelaseh,tidak tahu
woles,santai
zonk,gagal
sontoloyo,bodoh
